State,NumColonies,LostColonies,PercLost,AddedColonies,RenovatedColonies,PercRemoved,FIPS
Alabama,7000,1800,26,2800,250,4,1
Alaska,0,0,0,0,0,0,2
Arizona,35000,4600,13,3400,2100,6,4
Arkansas,13000,1500,12,200,140,1,5
California,1440000,255000,15,250000,124000,7,6
Colorado,3500,1500,12,200,140,1,8
Connecticut,3900,870,22,290,0,0,9
Delaware,0,0,0,0,0,0,10
District of Columbia,0,0,0,0,0,0,11
Florida,305000,42000,13,54000,25000,8,12
Georgia,104000,14500,14,47000,9500,9,13
Hawaii,10500,380,4,2600,8000,7,15
Idaho,81000,3700,4,2600,8000,9,16
Illinois,6000,4200,40,2300,390,4,17
Indiana,9000,2100,22,490,120,1,18
Iowa,12500,3100,18,1700,270,2,19
Kansas,4600,1600,23,450,70,1,20
Kentucky,7500,4100,39,250,0,0,21
Louisiana,51000,8000,16,3100,6500,13,22
Maine,3100,380,6,20,0,0,23
Maryland,7500,4100,41,1600,870,9,24
Massachusetts,2900,1000,22,260,120,3,25
Michigan,16500,11500,19,7500,2400,4,26
Minnesota,28000,3700,5,690,530,1,27
Mississippi,34000,8500,11,22000,7500,10,28
Missouri,12000,2000,15,220,910,7,29
Montana,8500,2200,6,1400,1100,3,30
Nebraska,10000,2600,8,120,310,1,31
Nevada,0,0,0,0,0,0,32
New Hampshire,0,0,0,0,0,0,33
New Jersey,6000,1100,12,570,1600,18,34
New Mexico,7000,690,10,190,600,9,35
New York,27000,6500,22,430,950,3,36
North Carolina,24000,7000,27,6000,690,3,37
North Dakota,0,0,0,0,0,0,38
Ohio,18000,10500,48,5000,3300,15,39
Oklahoma,9500,6000,23,2600,260,1,40
Oregon,77000,6500,8,4300,2400,3,41
Pennsylvania,14000,6500,31,360,0,0,42
Rhode Island,0,0,0,0,0,0,44
South Dakota,50000,4600,5,8500,2800,3,46
South Carolina,0,0,0,0,0,0,45
Tennessee,9500,2000,21,1000,190,2,47
Texas,191000,26000,10,82000,51000,20,48
Utah,6000,3300,14,2500,290,1,49
Vermont,5500,700,13,1200,20,0,50
Virginia,8000,2500,28,800,460,5,51
Washington,52000,14000,13,13500,9000,9,53
West Virginia,4700,1800,30,570,60,1,54
Wisconsin,16500,8000,28,3100,2500,9,55
Wyoming,5500,2000,17,2000,1400,12,56
