State,NumColonies
Alabama,7500
Alaska,0
Arizona,30000
Arkansas,27000
California,1140000
Colorado,6000
Conneticut,2700
Delaware,0
District of Columbia,0
Florida,245000
Georgia,100000
Hawaii,15000
Idaho,90000
Illinois,7000
Indiana,6500
Iowa,16500
Kansas,4700
Kentucky,7000
Louisiana,68000
Maine,2200
Maryland,6500
Massachusetts,3000
Michigan,25000
Minnesota,37000
Mississippi,24000
Missouri,11500
Montana,15500
Nebraska,10500
Nevada,0
New Hampshire,0
New Jersey,8500
New Mexico,6000
New York,31000
North Carolina,18500
North Dakota,0
Ohio,16000
Oklahoma,6000
Oregon,70000
Pennsylvania,12500
Rhode Island,0
South Dakota,16500
South Carolina,0
Tennessee,9000
Texas,240000
Utah,12000
Vermont,5500
Virginia,6500
Washington,78000
West Virginia,6500
Wisconsin,22000
Wyoming,2700
